Model,Loss,Accuracy,Male Accuracy,Female Accuracy,Time (s)
FlexMatch_1_best.pth,0.7899250020693674,47.36529541015625,86.41045958795563,8.32012678288431,46.81695556640625
FlexMatch_2_best.pth,0.5313633061626634,75.138671875,95.8795562599049,54.39778129952456,46.84679818153381
FlexMatch_3_best.pth,0.7143130204190165,43.383522033691406,44.849445324881145,41.9175911251981,46.22037434577942
FlexMatch_4_best.pth,0.5893970829937991,78.5657730102539,81.77496038034865,75.35657686212362,45.909547567367554
FlexMatch_5_best.pth,0.9085063406291363,21.67194938659668,6.774960380348653,36.5689381933439,45.01582407951355
FlexMatch_6_best.pth,0.6460446640731038,65.5309066772461,86.72741679873216,44.33438985736925,44.834709882736206
FlexMatch_7_best.pth,0.8203734212367546,49.544376373291016,2.6148969889064975,96.47385103011094,44.59614396095276
FlexMatch_8_best.pth,0.8744442020845489,20.047544479370117,27.297939778129955,12.797147385103012,44.64879751205444
FlexMatch_9_best.pth,0.7358294474152869,46.55309295654297,29.516640253565768,63.58954041204438,44.74149489402771
FlexMatch_10_best.pth,0.6534519434541983,51.98098373413086,10.063391442155309,93.89857369255151,46.65262770652771
