Epoch,Task Loss,Domain Loss,Task Acc,Domain Acc
1,396.90915271639824,271.3582498431206,0.6669614432260347,0.6874006008128645
2,106.98491394519806,297.9693369716406,0.7191368942341705,0.657094893090652
3,94.48215448856354,88.88597731292248,0.7338167668906969,0.805442657713377
4,89.67873373627663,102.98656968772411,0.7536257516802264,0.7650644990280968
5,85.34102740883827,112.7923624664545,0.7686593562079943,0.7296342109913412
6,88.27748718857765,140.17090037465096,0.7610541209763,0.6856335041526771
7,86.31634318828583,123.05014565587044,0.7686593562079943,0.6836896978264712
8,78.64242668449879,117.91313457489014,0.7920056597099399,0.6600989574129705
9,76.94306921958923,123.6358263194561,0.8008489564909799,0.6485244742887436
10,71.77857106178999,122.89961355924606,0.8195967456667845,0.6100017670966602
11,69.67450849711895,124.2664387524128,0.8249027237354085,0.6069977027743417
12,62.2433080971241,121.80213636159897,0.8494870887866997,0.6078812511044354
13,66.26435782760382,131.13610032200813,0.8353378139370358,0.6070860576073511
14,57.1832000464201,119.26612758636475,0.8609833746020517,0.6060257996112387
15,48.80449838191271,120.1622114777565,0.8823841528121684,0.6044354126170701
16,46.780739944428205,121.83363169431686,0.8901662539794836,0.6078812511044354
17,43.26557657495141,118.38265159726143,0.899540148567386,0.6175119279024562
18,39.194955468177795,125.46632641553879,0.9071453837990803,0.5946280261530306
19,33.35260759666562,119.64129078388214,0.9248319773611603,0.5896801555045061
20,29.32246278040111,116.72889620065689,0.9349133356915458,0.616716734405372
