Race,Epoch,Loss,Accuracy,Male Accuracy,Female Accuracy
White,1,0.7741476828531682,"tensor(59.6163, device='cuda:0')",71.56862745098039,45.69055036344756
White,2,0.7000508276964549,"tensor(57.3142, device='cuda:0')",97.77183600713012,10.176531671858775
White,3,0.5982269018674068,"tensor(68.5851, device='cuda:0')",74.24242424242425,61.99376947040498
White,4,0.5887444166256656,"tensor(69.0168, device='cuda:0')",68.62745098039215,69.47040498442367
White,5,0.5454516585925214,"tensor(70.5995, device='cuda:0')",82.62032085561498,56.59397715472482
White,6,0.5515392779732208,"tensor(71.1271, device='cuda:0')",67.825311942959,74.97403946002078
White,7,0.5491395941455302,"tensor(71.9425, device='cuda:0')",73.52941176470588,70.09345794392523
White,8,0.5282880168452824,"tensor(71.2230, device='cuda:0')",79.14438502673798,61.99376947040498
White,9,0.5846570808824589,"tensor(67.8657, device='cuda:0')",57.39750445632799,80.06230529595015
White,10,0.5336187885247832,"tensor(71.9904, device='cuda:0')",80.3030303030303,62.30529595015576
White,11,0.5049028080573185,"tensor(73.2374, device='cuda:0')",87.25490196078431,56.90550363447559
White,12,0.5085580270067394,"tensor(71.8465, device='cuda:0')",75.0445632798574,68.12045690550363
White,13,0.5021540705748885,"tensor(73.6691, device='cuda:0')",81.28342245989305,64.797507788162
White,14,0.49375171476988483,"tensor(72.1343, device='cuda:0')",94.20677361853832,46.41744548286604
White,15,0.5063835162481816,"tensor(74.3405, device='cuda:0')",84.93761140819964,61.99376947040498
White,16,0.4903161500283568,"tensor(73.1895, device='cuda:0')",91.71122994652407,51.60955347871236
White,17,0.5034992196291185,"tensor(72.3261, device='cuda:0')",90.81996434937611,50.77881619937694
White,18,0.48345506351342876,"tensor(74.6283, device='cuda:0')",83.33333333333334,64.48598130841121
White,19,0.5205297914340342,"tensor(71.7026, device='cuda:0')",73.88591800356507,69.1588785046729
White,20,0.4675137268553535,"tensor(74.6283, device='cuda:0')",90.9090909090909,55.65939771547248
Black,1,0.7200210529611779,"tensor(59.5116, device='cuda:0')",71.21401752190238,47.15984147952444
Black,2,0.7777133919585947,"tensor(52.8920, device='cuda:0')",98.87359198998749,4.359313077939234
Black,3,0.6508692855393672,"tensor(63.4961, device='cuda:0')",81.60200250312892,44.38573315719947
Black,4,0.622584378811265,"tensor(66.3882, device='cuda:0')",77.34668335419273,54.82166446499339
Black,5,0.6137094108488382,"tensor(65.3599, device='cuda:0')",83.85481852315394,45.83883751651255
Black,6,0.602343788336972,"tensor(66.9666, device='cuda:0')",69.21151439299123,64.59709379128138
Black,7,0.6160314507533469,"tensor(64.5887, device='cuda:0')",71.21401752190238,57.59577278731837
Black,8,0.5924995040908877,"tensor(68.9589, device='cuda:0')",82.35294117647058,54.82166446499339
Black,9,0.6097166867672937,"tensor(65.8740, device='cuda:0')",59.57446808510638,72.5231175693527
Black,10,0.5951894985985939,"tensor(68.7018, device='cuda:0')",83.60450563204004,52.97225891677675
Black,11,0.6092451096806857,"tensor(67.9306, device='cuda:0')",88.23529411764706,46.49933949801849
Black,12,0.567820095923995,"tensor(68.8303, device='cuda:0')",71.58948685857321,65.91809775429326
Black,13,0.5742807651853193,"tensor(68.6375, device='cuda:0')",84.85607008760951,51.51915455746368
Black,14,0.5739819482160411,"tensor(66.0026, device='cuda:0')",93.61702127659575,36.85601056803171
Black,15,0.6094802063351119,"tensor(68.0591, device='cuda:0')",84.98122653316645,50.19815059445178
Black,16,0.5682701563467404,"tensor(69.4730, device='cuda:0')",89.73717146433042,48.084544253632764
Black,17,0.596550297231478,"tensor(67.4807, device='cuda:0')",91.73967459324155,41.87582562747688
Black,18,0.5554175606730052,"tensor(69.4730, device='cuda:0')",75.71964956195244,62.87978863936592
Black,19,0.5723666583970763,"tensor(68.7661, device='cuda:0')",65.8322903629537,71.86261558784676
Black,20,0.5619819466129979,"tensor(68.2519, device='cuda:0')",90.86357947434293,44.38573315719947
Latino_Hispanic,1,0.7215738198820338,"tensor(60.1355, device='cuda:0')",66.58259773013872,53.975903614457835
Latino_Hispanic,2,0.7548664085525681,"tensor(51.5712, device='cuda:0')",97.98234552332913,7.228915662650602
Latino_Hispanic,3,0.5783220002552791,"tensor(69.0080, device='cuda:0')",75.28373266078184,63.01204819277109
Latino_Hispanic,4,0.5598060467400378,"tensor(71.7190, device='cuda:0')",74.40100882723833,69.1566265060241
Latino_Hispanic,5,0.5187250782109599,"tensor(73.1978, device='cuda:0')",83.60655737704919,63.25301204819277
Latino_Hispanic,6,0.48739684171612,"tensor(75.4159, device='cuda:0')",72.38335435056746,78.3132530120482
Latino_Hispanic,7,0.5254364107504202,"tensor(74.7381, device='cuda:0')",73.89659520807061,75.5421686746988
Latino_Hispanic,8,0.4683444236375929,"tensor(76.6482, device='cuda:0')",79.57124842370744,73.855421686747
Latino_Hispanic,9,0.5103315170613323,"tensor(74.0604, device='cuda:0')",60.781841109709966,86.74698795180723
Latino_Hispanic,10,0.4690106884058214,"tensor(77.0795, device='cuda:0')",83.48045397225725,70.96385542168674
Latino_Hispanic,11,0.4643299065837872,"tensor(76.0937, device='cuda:0')",89.78562421185372,63.01204819277109
Latino_Hispanic,12,0.45649486699371666,"tensor(76.4017, device='cuda:0')",74.27490542244641,78.43373493975903
Latino_Hispanic,13,0.44569823496589966,"tensor(78.3118, device='cuda:0')",84.74148802017655,72.16867469879517
Latino_Hispanic,14,0.457417333302348,"tensor(74.6149, device='cuda:0')",92.81210592686003,57.22891566265061
