Dataset,Model Folder,Model,Loss,Accuracy,Male Accuracy,Female Accuracy
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.6165053011909608,63.741939544677734,79.66537966537966,47.73609314359638
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_best.pth,0.8313015023354561,38.709678649902344,10.167310167310168,67.39974126778783
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_best.pth,0.6314184168846376,59.096778869628906,29.343629343629345,89.0038809831824
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_3_best.pth,0.8125747692200446,39.48387145996094,32.04633204633205,46.95989650711513
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_4_best.pth,0.7688365276398197,50.774192810058594,2.7027027027027026,99.09443725743856
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_5_best.pth,0.7017186238688807,54.19355010986328,87.001287001287,21.216041397153944
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.9085645212665681,34.967742919921875,14.800514800514799,55.23932729624838
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.6768811978832368,54.32258224487305,12.226512226512225,96.63648124191462
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.6490773337887179,51.61290740966797,98.84169884169884,4.139715394566624
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_best.pth,0.7878477607234832,44.709678649902344,81.46718146718148,7.761966364812419
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_best.pth,0.8305349807585439,46.129032135009766,4.633204633204633,87.83958602846054
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_best.pth,0.7813495937470467,47.48387145996094,80.3088803088803,14.489003880983182
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_4_best.pth,0.8287204084088725,42.58064651489258,65.12226512226512,19.922380336351875
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_5_best.pth,0.8135896153603831,43.93548583984375,6.94980694980695,81.11254851228978
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.8155034901249794,38.45161437988281,24.195624195624195,52.78137128072446
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.6532930607949534,56.64516067504883,24.967824967824967,88.48641655886158
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.6612104599706589,57.8709716796875,90.34749034749035,25.22639068564036
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,0.6627578896860923,57.4838752746582,88.67438867438867,26.13195342820181
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_2_best.pth,0.7523522539292612,48.774192810058594,5.405405405405405,92.36739974126779
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_3_best.pth,0.8788854095243639,42.709678649902344,3.861003861003861,81.75937904269081
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_4_best.pth,0.7353355340034731,51.41936111450195,6.177606177606178,96.89521345407503
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_5_best.pth,0.7225124151475968,50.838706970214844,91.63449163449164,9.831824062095732
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_1_best.pth,0.8827317397056087,31.7419376373291,37.58043758043758,25.873221216041397
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_2_best.pth,0.61686524914157,65.67742156982422,85.07078507078506,46.183699870633895
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_3_best.pth,0.7910126931436601,29.48387336730957,33.59073359073359,25.35575679172057
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_4_best.pth,0.9856583940598272,34.25806427001953,3.2175032175032174,65.45924967658473
East_Asian_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_5_best.pth,0.7040400694647143,57.35484313964844,97.55469755469755,16.946959896507117
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.7147478780875487,52.47548294067383,30.167844522968196,78.1448538754765
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.5404676233540328,70.25877380371094,94.56713780918727,42.287166454891995
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.8263991435030793,34.62129211425781,9.121024734982331,63.96442185514613
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_4_best.pth,0.6050115249532483,67.93099212646484,56.735865724381625,80.81321473951716
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_5_best.pth,0.9606863199136196,52.86541748046875,97.37190812720848,1.6518424396442184
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.6366203355899055,63.29906463623047,85.84363957597174,37.35705209656925
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,1.1043495894971502,25.86553192138672,10.048586572438163,44.066073697585765
Balanced_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.6423440419175334,54.21245193481445,97.74734982332156,4.116899618805591
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.7639466981917116,46.827362060546875,4.969081272084805,94.99364675984752
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.598822471387812,72.55110168457031,64.77473498233216,81.49936467598475
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.7641199970800348,44.83043670654297,25.04416961130742,67.5984752223634
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_4_best.pth,1.0810887890899912,33.58147048950195,3.113957597173145,68.64040660736977
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_5_best.pth,0.844942960223027,49.74595260620117,87.9196113074205,5.819567979669631
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.8212260471074333,45.20855712890625,7.6855123674911665,88.38627700127066
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.4983980896363624,79.3217544555664,78.64399293286219,80.10165184243965
Balanced_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,1.152158705623074,26.314544677734375,7.928445229681978,47.47141041931385
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_1_best.pth,0.678069556067912,55.32317352294922,99.27120141342756,4.752223634053367
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_best.pth,0.7532035850836258,44.67682647705078,59.60689045936396,27.49682337992376
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_best.pth,1.0564827496146503,53.503482818603516,100.0,0.0
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_4_best.pth,0.667208002551177,57.79273986816406,54.77031802120141,61.27064803049556
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_5_best.pth,0.643041585785664,58.560794830322266,26.060070671378092,95.95933926302415
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.7256982575335655,48.62342071533203,54.01943462897526,42.41423125794155
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.6445683100383276,60.93583679199219,64.8851590106007,56.39135959339263
Balanced_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.744771972046836,54.55512237548828,22.747349823321557,91.15628970775094
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_best.pth,0.6356450914491453,62.247432708740234,83.70141342756183,37.56035578144854
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_best.pth,0.6813362857825815,55.70128631591797,92.75618374558304,13.062261753494282
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_3_best.pth,0.8896412763149902,45.95296859741211,2.2526501766784452,96.23888182973317
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_4_best.pth,0.8180438407019888,46.76828384399414,1.5238515901060072,98.8310038119441
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_5_best.pth,0.7506219770177859,45.137657165527344,34.89399293286219,56.92503176620076
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.6049874942803881,66.64303588867188,78.35689045936395,53.163913595933934
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.7872062099187013,43.90877914428711,25.92756183745583,64.5997458703939
Balanced_Validation,bias_training_data\bias_Severe_Male_Gender_FlexMatch,bias_training_data\bias_Severe_Male_Gender_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.6169063377490241,61.33758544921875,89.62014134275618,28.792884371029224
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_best.pth,0.6098607028825168,65.46141815185547,69.85424028268551,60.40660736975858
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_best.pth,0.6759205205804221,57.59186553955078,79.17402826855124,32.757306226175345
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_best.pth,0.9485259460709865,37.4571647644043,5.631625441696113,74.07878017789072
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_4_best.pth,0.7980796331972232,45.1731071472168,74.16077738515902,11.81702668360864
