Epoch,Task Loss,Domain Loss,Task Acc,Domain Acc
1,373.9315477013588,267.1531175971031,0.5606451612903226,0.5154738878143134
2,83.12321332097054,95.08428537845612,0.6006451612903225,0.528046421663443
3,58.31407430768013,71.77765136957169,0.6761290322580645,0.5402965828497743
4,60.764326840639114,73.64380925893784,0.6787096774193548,0.5029013539651838
5,57.52423478662968,73.68176281452179,0.6883870967741935,0.5190199871050934
6,58.64104336500168,69.70315498113632,0.6870967741935484,0.5312701482914249
7,57.3151721060276,70.31341886520386,0.6993548387096774,0.5373952288845906
8,51.89478346705437,68.19284480810165,0.7425806451612903,0.533204384268214
9,51.651286482810974,67.40309256315231,0.7438709677419355,0.5406189555125726
10,48.17284019291401,67.5239160656929,0.7625806451612903,0.5412637008381689
